k, f, h2OmegaGW
2.385547021413969730e+02 1.994311450546945239e-02 0.000000000000000000e+00
2.392402041590364092e+02 2.000042230577183874e-02 0.000000000000000000e+00
2.399257061766758738e+02 2.005773010607422163e-02 0.000000000000000000e+00
2.406112081943153100e+02 2.011503790637660452e-02 0.000000000000000000e+00
2.412967102119547462e+02 2.017234570667898741e-02 0.000000000000000000e+00
2.419822122295942108e+02 2.022965350698137724e-02 0.000000000000000000e+00
2.426677142472336470e+02 2.028696130728375666e-02 0.000000000000000000e+00
2.433532162648730832e+02 2.034426910758614301e-02 0.000000000000000000e+00
2.440387182825125478e+02 2.040157690788852590e-02 0.000000000000000000e+00
2.447242203001519840e+02 2.045888470819090185e-02 0.000000000000000000e+00
2.454097223177914202e+02 2.051619250849329168e-02 0.000000000000000000e+00
2.460952243354308848e+02 2.057350030879567457e-02 0.000000000000000000e+00
2.467807263530703210e+02 2.063080810909806093e-02 0.000000000000000000e+00
2.474662283707097572e+02 2.068811590940044035e-02 0.000000000000000000e+00
2.481517303883492218e+02 2.074542370970283017e-02 0.000000000000000000e+00
2.488372324059886580e+02 2.080273151000520959e-02 0.000000000000000000e+00
2.495227344236280942e+02 2.086003931030759248e-02 0.000000000000000000e+00
2.502082364412675304e+02 2.091734711060997537e-02 0.000000000000000000e+00
2.508937384589069950e+02 2.097465491091236520e-02 0.000000000000000000e+00
2.515792404765464312e+02 2.103196271121474115e-02 0.000000000000000000e+00
2.522647424941858674e+02 2.108927051151712403e-02 0.000000000000000000e+00
2.529502445118253320e+02 2.114657831181951386e-02 0.000000000000000000e+00
2.536357465294647682e+02 2.120388611212189675e-02 0.000000000000000000e+00
2.543212485471042044e+02 2.126119391242427964e-02 0.000000000000000000e+00
2.550067505647436690e+02 2.131850171272666253e-02 0.000000000000000000e+00
2.556922525823831052e+02 2.137580951302904195e-02 0.000000000000000000e+00
2.563777546000225698e+02 2.143311731333143177e-02 0.000000000000000000e+00
2.570632566176620344e+02 2.149042511363381466e-02 0.000000000000000000e+00
2.577487586353014422e+02 2.154773291393619755e-02 0.000000000000000000e+00
2.584342606529409068e+02 2.160504071423858044e-02 0.000000000000000000e+00
2.591197626705803714e+02 2.166234851454097027e-02 0.000000000000000000e+00
2.598052646882197791e+02 2.171965631484334622e-02 0.000000000000000000e+00
2.604907667058592438e+02 2.177696411514573605e-02 0.000000000000000000e+00
2.611762687234987084e+02 2.183427191544811893e-02 0.000000000000000000e+00
2.618617707411381161e+02 2.189157971575049488e-02 0.000000000000000000e+00
2.625472727587775807e+02 2.194888751605288471e-02 0.000000000000000000e+00
2.632327747764170454e+02 2.200619531635527454e-02 0.000000000000000000e+00
2.639182767940564531e+02 2.206350311665765396e-02 0.000000000000000000e+00
2.646037788116959177e+02 2.212081091696003338e-02 0.000000000000000000e+00
